Stage,Xmom,Ymom,timestamp,DateTimeTZ
-0.574,0,0,1064152800,2003-09-22 00:00:00+10:00
-0.584,0,0,1064153700,2003-09-22 00:15:00+10:00
-0.584,0,0,1064154600,2003-09-22 00:30:00+10:00
-0.544,0,0,1064155500,2003-09-22 00:45:00+10:00
-0.464,0,0,1064156400,2003-09-22 01:00:00+10:00
-0.484,0,0,1064157300,2003-09-22 01:15:00+10:00
-0.444,0,0,1064158200,2003-09-22 01:30:00+10:00
-0.374,0,0,1064159100,2003-09-22 01:45:00+10:00
-0.334,0,0,1064160000,2003-09-22 02:00:00+10:00
-0.294,0,0,1064160900,2003-09-22 02:15:00+10:00
-0.244,0,0,1064161800,2003-09-22 02:30:00+10:00
-0.244,0,0,1064162700,2003-09-22 02:45:00+10:00
-0.174,0,0,1064163600,2003-09-22 03:00:00+10:00
-0.114,0,0,1064164500,2003-09-22 03:15:00+10:00
-0.064,0,0,1064165400,2003-09-22 03:30:00+10:00
-0.064,0,0,1064166300,2003-09-22 03:45:00+10:00
0.006,0,0,1064167200,2003-09-22 04:00:00+10:00
0.026,0,0,1064168100,2003-09-22 04:15:00+10:00
0.026,0,0,1064169000,2003-09-22 04:30:00+10:00
0.106,0,0,1064169900,2003-09-22 04:45:00+10:00
0.086,0,0,1064170800,2003-09-22 05:00:00+10:00
0.086,0,0,1064171700,2003-09-22 05:15:00+10:00
0.116,0,0,1064172600,2003-09-22 05:30:00+10:00
0.106,0,0,1064173500,2003-09-22 05:45:00+10:00
0.116,0,0,1064174400,2003-09-22 06:00:00+10:00
0.076,0,0,1064175300,2003-09-22 06:15:00+10:00
0.076,0,0,1064176200,2003-09-22 06:30:00+10:00
0.066,0,0,1064177100,2003-09-22 06:45:00+10:00
0.056,0,0,1064178000,2003-09-22 07:00:00+10:00
0.016,0,0,1064178900,2003-09-22 07:15:00+10:00
-0.044,0,0,1064179800,2003-09-22 07:30:00+10:00
-0.044,0,0,1064180700,2003-09-22 07:45:00+10:00
-0.064,0,0,1064181600,2003-09-22 08:00:00+10:00
-0.104,0,0,1064182500,2003-09-22 08:15:00+10:00
-0.164,0,0,1064183400,2003-09-22 08:30:00+10:00
-0.154,0,0,1064184300,2003-09-22 08:45:00+10:00
-0.184,0,0,1064185200,2003-09-22 09:00:00+10:00
-0.254,0,0,1064186100,2003-09-22 09:15:00+10:00
-0.244,0,0,1064187000,2003-09-22 09:30:00+10:00
-0.264,0,0,1064187900,2003-09-22 09:45:00+10:00
-0.284,0,0,1064188800,2003-09-22 10:00:00+10:00
-0.304,0,0,1064189700,2003-09-22 10:15:00+10:00
-0.324,0,0,1064190600,2003-09-22 10:30:00+10:00
-0.324,0,0,1064191500,2003-09-22 10:45:00+10:00
-0.324,0,0,1064192400,2003-09-22 11:00:00+10:00
-0.294,0,0,1064193300,2003-09-22 11:15:00+10:00
-0.314,0,0,1064194200,2003-09-22 11:30:00+10:00
-0.264,0,0,1064195100,2003-09-22 11:45:00+10:00
-0.244,0,0,1064196000,2003-09-22 12:00:00+10:00
-0.234,0,0,1064196900,2003-09-22 12:15:00+10:00
