Day,Stage,timestamp,DateTimeTZ
265.0,-0.574,1064152800.0,2003-09-22 00:00:00+10:00
265.010417,-0.584,1064153700.0,2003-09-22 00:15:00+10:00
265.020833,-0.584,1064154600.0,2003-09-22 00:30:00+10:00
265.03125,-0.544,1064155500.0,2003-09-22 00:45:00+10:00
265.041667,-0.464,1064156400.0,2003-09-22 01:00:00+10:00
265.052083,-0.484,1064157300.0,2003-09-22 01:15:00+10:00
265.0625,-0.444,1064158200.0,2003-09-22 01:30:00+10:00
265.072917,-0.374,1064159100.0,2003-09-22 01:45:00+10:00
265.083333,-0.334,1064160000.0,2003-09-22 02:00:00+10:00
265.09375,-0.294,1064160900.0,2003-09-22 02:15:00+10:00
265.104167,-0.244,1064161800.0,2003-09-22 02:30:00+10:00
265.114583,-0.244,1064162700.0,2003-09-22 02:45:00+10:00
265.125,-0.174,1064163600.0,2003-09-22 03:00:00+10:00
265.135417,-0.114,1064164500.0,2003-09-22 03:15:00+10:00
265.145833,-0.064,1064165400.0,2003-09-22 03:30:00+10:00
265.15625,-0.064,1064166300.0,2003-09-22 03:45:00+10:00
265.166667,0.006,1064167200.0,2003-09-22 04:00:00+10:00
265.177083,0.026,1064168100.0,2003-09-22 04:15:00+10:00
265.1875,0.026,1064169000.0,2003-09-22 04:30:00+10:00
265.197917,0.106,1064169900.0,2003-09-22 04:45:00+10:00
265.208333,0.086,1064170800.0,2003-09-22 05:00:00+10:00
265.21875,0.086,1064171700.0,2003-09-22 05:15:00+10:00
265.229167,0.116,1064172600.0,2003-09-22 05:30:00+10:00
265.239583,0.106,1064173500.0,2003-09-22 05:45:00+10:00
265.25,0.116,1064174400.0,2003-09-22 06:00:00+10:00
265.260417,0.076,1064175300.0,2003-09-22 06:15:00+10:00
265.270833,0.076,1064176200.0,2003-09-22 06:30:00+10:00
265.28125,0.066,1064177100.0,2003-09-22 06:45:00+10:00
265.291667,0.056,1064178000.0,2003-09-22 07:00:00+10:00
265.302083,0.016,1064178900.0,2003-09-22 07:15:00+10:00
265.3125,-0.044,1064179800.0,2003-09-22 07:30:00+10:00
265.322917,-0.044,1064180700.0,2003-09-22 07:45:00+10:00
265.333333,-0.064,1064181600.0,2003-09-22 08:00:00+10:00
265.34375,-0.104,1064182500.0,2003-09-22 08:15:00+10:00
265.354167,-0.164,1064183400.0,2003-09-22 08:30:00+10:00
265.364583,-0.154,1064184300.0,2003-09-22 08:45:00+10:00
265.375,-0.184,1064185200.0,2003-09-22 09:00:00+10:00
265.385417,-0.254,1064186100.0,2003-09-22 09:15:00+10:00
265.395833,-0.244,1064187000.0,2003-09-22 09:30:00+10:00
265.40625,-0.264,1064187900.0,2003-09-22 09:45:00+10:00
265.416667,-0.284,1064188800.0,2003-09-22 10:00:00+10:00
265.427083,-0.304,1064189700.0,2003-09-22 10:15:00+10:00
265.4375,-0.324,1064190600.0,2003-09-22 10:30:00+10:00
265.447917,-0.324,1064191500.0,2003-09-22 10:45:00+10:00
265.458333,-0.324,1064192400.0,2003-09-22 11:00:00+10:00
265.46875,-0.294,1064193300.0,2003-09-22 11:15:00+10:00
265.479167,-0.314,1064194200.0,2003-09-22 11:30:00+10:00
265.489583,-0.264,1064195100.0,2003-09-22 11:45:00+10:00
265.5,-0.244,1064196000.0,2003-09-22 12:00:00+10:00
265.510417,-0.234,1064196900.0,2003-09-22 12:15:00+10:00
265.520833,-0.214,1064197800.0,2003-09-22 12:30:00+10:00
265.53125,-0.094,1064198700.0,2003-09-22 12:45:00+10:00
265.541667,-0.104,1064199600.0,2003-09-22 13:00:00+10:00
265.552083,-0.064,1064200500.0,2003-09-22 13:15:00+10:00
265.5625,0.026,1064201400.0,2003-09-22 13:30:00+10:00
265.572917,0.016,1064202300.0,2003-09-22 13:45:00+10:00
265.583333,0.146,1064203200.0,2003-09-22 14:00:00+10:00
265.59375,0.176,1064204100.0,2003-09-22 14:15:00+10:00
265.604167,0.176,1064205000.0,2003-09-22 14:30:00+10:00
265.614583,0.236,1064205900.0,2003-09-22 14:45:00+10:00
265.625,0.336,1064206800.0,2003-09-22 15:00:00+10:00
265.635417,0.376,1064207700.0,2003-09-22 15:15:00+10:00
265.645833,0.396,1064208600.0,2003-09-22 15:30:00+10:00
265.65625,0.466,1064209500.0,2003-09-22 15:45:00+10:00
265.666667,0.496,1064210400.0,2003-09-22 16:00:00+10:00
265.677083,0.526,1064211300.0,2003-09-22 16:15:00+10:00
265.6875,0.546,1064212200.0,2003-09-22 16:30:00+10:00
265.697917,0.586,1064213100.0,2003-09-22 16:45:00+10:00
265.708333,0.596,1064214000.0,2003-09-22 17:00:00+10:00
265.71875,0.606,1064214900.0,2003-09-22 17:15:00+10:00
265.729167,0.606,1064215800.0,2003-09-22 17:30:00+10:00
265.739583,0.596,1064216700.0,2003-09-22 17:45:00+10:00
265.75,0.596,1064217600.0,2003-09-22 18:00:00+10:00
265.760417,0.566,1064218500.0,2003-09-22 18:15:00+10:00
265.770833,0.566,1064219400.0,2003-09-22 18:30:00+10:00
265.78125,0.486,1064220300.0,2003-09-22 18:45:00+10:00
265.791667,0.426,1064221200.0,2003-09-22 19:00:00+10:00
265.802083,0.466,1064222100.0,2003-09-22 19:15:00+10:00
265.8125,0.386,1064223000.0,2003-09-22 19:30:00+10:00
265.822917,0.336,1064223900.0,2003-09-22 19:45:00+10:00
265.833333,0.206,1064224800.0,2003-09-22 20:00:00+10:00
265.84375,0.166,1064225700.0,2003-09-22 20:15:00+10:00
265.854167,0.166,1064226600.0,2003-09-22 20:30:00+10:00
265.864583,0.056,1064227500.0,2003-09-22 20:45:00+10:00
265.875,-0.054,1064228400.0,2003-09-22 21:00:00+10:00
265.885417,-0.114,1064229300.0,2003-09-22 21:15:00+10:00
265.895833,-0.224,1064230200.0,2003-09-22 21:30:00+10:00
265.90625,-0.264,1064231100.0,2003-09-22 21:45:00+10:00
265.916667,-0.344,1064232000.0,2003-09-22 22:00:00+10:00
265.927083,-0.454,1064232900.0,2003-09-22 22:15:00+10:00
265.9375,-0.484,1064233800.0,2003-09-22 22:30:00+10:00
265.947917,-0.454,1064234700.0,2003-09-22 22:45:00+10:00
265.958333,-0.454,1064235600.0,2003-09-22 23:00:00+10:00
265.96875,-0.614,1064236500.0,2003-09-22 23:15:00+10:00
265.979167,-0.564,1064237400.0,2003-09-22 23:30:00+10:00
265.989583,-0.634,1064238300.0,2003-09-22 23:45:00+10:00
266.0,-0.544,1064239200.0,2003-09-23 00:00:00+10:00
266.010417,-0.564,1064240100.0,2003-09-23 00:15:00+10:00
266.020833,-0.624,1064241000.0,2003-09-23 00:30:00+10:00
266.03125,-0.664,1064241900.0,2003-09-23 00:45:00+10:00
266.041667,-0.604,1064242800.0,2003-09-23 01:00:00+10:00
266.052083,-0.404,1064243700.0,2003-09-23 01:15:00+10:00
266.0625,-0.524,1064244600.0,2003-09-23 01:30:00+10:00
266.072917,-0.584,1064245500.0,2003-09-23 01:45:00+10:00
266.083333,-0.414,1064246400.0,2003-09-23 02:00:00+10:00
266.09375,-0.374,1064247300.0,2003-09-23 02:15:00+10:00
266.104167,-0.324,1064248200.0,2003-09-23 02:30:00+10:00
266.114583,-0.284,1064249100.0,2003-09-23 02:45:00+10:00
266.125,-0.294,1064250000.0,2003-09-23 03:00:00+10:00
266.135417,-0.194,1064250900.0,2003-09-23 03:15:00+10:00
